channelId,title,description,subscriberCount,viewCount,likeCount
UCFMEYTv6N64hIL9FlQ_hxBw,ĐÔNG TÂY PROMOTION OFFICIAL,"Đông Tây Promotion là công ty sản xuất các chương trình truyền hình, quản lý dự án và tổ chức sự kiện  Công ty Đông Tây Promotion đặt trọng tâm vào các dịch vụ chính yếu bao gồm sản xuất các chương trình truyền hình, quản lý dự án và tổ chức sự kiện với các thể loại như: Trò chơi truyền hình, truyền hình thực tế, các chương trình giải trí Âm nhạc, các sự kiện thể thao, các chương trình tạp kỹ…  📣 Subscribe kênh ĐÔNG TÂY PROMOTION OFFICIAL để không bỏ lỡ các chương trình SIÊU HẤP DẪN: https://bit.ly/SubDTP  ► Fanpage: https://www.facebook.com/DongTayPromotion ►Tải app VieON tại: https://click.vieon.vn/wSBG/ytapp ",9030000,5979685111,0
UCljFFNaQoJWeP91Bz4m_3bw,FPT Bóng Đá Việt,Quý khán giả đừng quên SUBSCRIBE: https://bit.ly/FPTBongDaViet ---------------------------- Thưởng thức các trận cầu đỉnh cao tại hệ thống kênh Youtube của FPT ⚽ FPT Bóng Đá: https://bit.ly/FPTBongda ⚽ FPT Bóng Đá Việt: https://bit.ly/FPTBongDaViet ⚽ FPT Bóng Rổ: https://bit.ly/FPTBongro ------------------------------ © Bản quyền thuộc về FPT Bóng Đá Việt và Đối Tác © Copyright by FPT Bóng Đá Việt and Partner☞ Do not Reup © Copyright all rights reserved ,1160000,557625000,0
UCbkllEQivzBHCkaQX-w4N3Q,BÓNG ĐÁ VIỆT NAM,Bóng đá Việt Nam - Cập nhật Highlights các giải đấu trong nước và quốc tế nhanh nhất sớm nhất 🔥,150000,101170626,0
UChG2EWuXoW7Tgof35WjbsnQ,Vietnam Championship Series - LMHT,Trang thông tin chính thức về các giải đấu của bộ môn Thể Thao Điện Tử Liên Minh Huyền Thoại  https://lolesports.com/ ,524000,134163413,0
UCKl0tA90oEArasOGzp8I41g,TonyTV,Bấm👍 + bấm 🔔 thông báo = sự động viên💖,9540000,8463523601,0
UCbxWTKqVmD_AMeOIcKFhQ3Q,TV360 Thể Thao,"TV360 là sản phẩm dịch vụ của nhà mạng Viettel. Khách hàng sử dụng TV360 có thể xem trực tiếp bóng đá, phim và TV Show trên đa nền tảng, gần 200 kênh truyền hình trong nước, quốc tế, hàng chục nghìn Video/Phim HD. Mang đến trải nghiệm trên nhiều thiết bị, miễn phí data 4G/5G  Viettel.  Tải app và trải nghiệm ngay: http://s.viettel.vn/yt1 Liên hệ booking quảng cáo: 037.967.6666  ► Kênh Youtube được vận hành và bảo trợ truyền thông bởi Yo Network . Website : https://yonetwork.vn/ ",178000,114284116,0
UCtVt72Xq0qMvRSfyDDiqHhw,MEGA GS MUSIC,"Chương trình “Sàn Chiến Giọng Hát” (Singer Auction) do Công ty Mega GS Communication phối hợp với Đài Truyền hình Việt Nam thực hiện. Bản quyền chương trình thuộc về NBCUniversal International Formats.  - - - - - - - - - - - - - - - - - - - - - - - - - - -  KÊNH CHÍNH THỨC CỦA MEGA GS MUSIC, ẤN SUBSCRIBE NGAY ĐỂ THEO DÕI VIDEO MỚI NHẤT! ► Subscribe: http://popsww.com/megagsmusic ► Website official: http://megags.vn ► Fanpage: https://facebook.com/MegaGSEntertainment",1400000,886988415,0
UCvbSpyvK5xS_tXyyW7qXM2w,RUBIK BMT,"-Câu lạc bộ Rubik Buôn Ma Thuột được thành lập 6/11/2016 tại thành phố Buôn Ma Thuột, tỉnh Đăk Lăk  -Tất cả thông tin về FANPAGE, SHOP... https://manylink.co/@RUBIKBMT  - Contact for work (Liên hệ hợp tác): Rubikbmt47@gmail.com ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- FOLLOW US ON: - Instagram(Thông Nguyễn): https://www.instagram.com/rubikbmt/ - Facebook(Thông nguyễn): https://www.facebook.com/profile.php?id=100009665823378 - Shopee: https://shopee.vn/rubikbmtstore - Fanpage: https://www.facebook.com/rubikbmtstore ",1430000,813843661,0
UCyjEHiz7k315xJkBrFtQViw,Hẹn Hò Hoàn Mỹ,Hẹn Hò Hoàn Mỹ - chuỗi những chương trình hẹn hò hay nhất Việt Nam! Lớp Học Hoàn Mỹ là gameshow giải trí nơi các bạn nghệ sĩ hóa thân thành các học sinh và các thành viên phải hoàn thành nhiều nhiệm vụ và thử thách khác nhau để nhận những phần thưởng/hình phạt thú vị.  Liên hệ: 0978105555 Email: vutruhoanmy@gmail.com - henhohoanmy@gmail.com ,821000,498697366,0
UCuNfWyYw1Ws9yzev3k7N3Kg,Nhã Bé Bắp,"Channel này sẽ là một góc điện ảnh nhỏ 🎞 những chiếc video hài hước, giải trí ""chấn động bờ hồ"" của Bé Bắp✨  Nếu anh em thấy thú vị thì đừng quên để lại 1 like, subcribe & share để bắp có thêm động lực làm clip nhé! ________________ © Mọi vấn đề về bản quyền vui lòng liên hệ: nhabebap2001@gmail.com Mình sẽ giải quyết nhanh chóng và thiện chí nhất! ©For any image and sound copyright issues, please contact us nhabebap2001@gmail.com   ",1430000,1072925855,0
